,brand,titles,titles_tag
1113,eton,case clock clothe contact drawer eyeglass fog free lens mirror radio saver shower sweater tot tray valet,"[('case', 'NOUN'), ('clock', 'NOUN'), ('clothe', 'NOUN'), ('contact', 'NOUN'), ('drawer', 'NOUN'), ('eyeglass', 'NOUN'), ('fog', 'NOUN'), ('free', 'ADJ'), ('lens', 'NOUN'), ('mirror', 'NOUN'), ('radio', 'NOUN'), ('saver', 'NOUN'), ('shower', 'NOUN'), ('sweater', 'NOUN'), ('tot', 'NOUN'), ('tray', 'NOUN'), ('valet', 'NOUN')]"
1114,etrading,arthur clothe costume excalibur king medieval quot sheath sword,"[('arthur', 'NOUN'), ('clothe', 'NOUN'), ('costume', 'VERB'), ('excalibur', 'ADP'), ('king', 'NOUN'), ('medieval', 'ADJ'), ('quot', 'NOUN'), ('sheath', 'NOUN'), ('sword', 'NOUN')]"
1115,eurochoice,black clothe comfort eurochoice nosize sock stretch,"[('black', 'ADJ'), ('clothe', 'NOUN'), ('comfort', 'NOUN'), ('eurochoice', 'NOUN'), ('nosize', 'VERB'), ('sock', 'NOUN'), ('stretch', 'NOUN')]"
1116,eurosock,calf child clothe eurosocks junior light lite medium outdoors ski snowdrop snowride sock sport super supreme travelsox unisex weight white women,"[('calf', 'NOUN'), ('child', 'NOUN'), ('clothe', 'NOUN'), ('eurosocks', 'NOUN'), ('junior', 'VERB'), ('light', 'ADJ'), ('lite', 'NOUN'), ('medium', 'NOUN'), ('outdoors', 'ADJ'), ('ski', 'ADJ'), ('snowdrop', 'NOUN'), ('snowride', 'NOUN'), ('sock', 'NOUN'), ('sport', 'NOUN'), ('super', 'ADJ'), ('supreme', 'ADJ'), ('travelsox', 'ADJ'), ('unisex', 'ADJ'), ('weight', 'NOUN'), ('white', 'ADJ'), ('women', 'NOUN')]"
1117,eurosport,atlantic border clothe flag great long shirt sleeve south white,"[('atlantic', 'ADJ'), ('border', 'NOUN'), ('clothe', 'NOUN'), ('flag', 'NOUN'), ('great', 'ADJ'), ('long', 'ADJ'), ('shirt', 'NOUN'), ('sleeve', 'NOUN'), ('south', 'ADJ'), ('white', 'ADJ')]"
1118,eurotard,adult black camisole child clothe comfort double eurotard feather gel handkerchief legwarmer leotard lite lites lyrical overlay pad palazzo pant plus pointe single size skirt stirrup teen toe top ultra,"[('adult', 'VERB'), ('black', 'ADJ'), ('camisole', 'ADJ'), ('child', 'NOUN'), ('clothe', 'NOUN'), ('comfort', 'NOUN'), ('double', 'ADJ'), ('eurotard', 'NOUN'), ('feather', 'X'), ('gel', 'X'), ('handkerchief', 'NOUN'), ('legwarmer', 'VERB'), ('leotard', 'ADJ'), ('lite', 'NOUN'), ('lites', 'VERB'), ('lyrical', 'ADJ'), ('overlay', 'NOUN'), ('pad', 'NOUN'), ('palazzo', 'NOUN'), ('pant', 'NOUN'), ('plus', 'CCONJ'), ('pointe', 'NOUN'), ('single', 'ADJ'), ('size', 'NOUN'), ('skirt', 'NOUN'), ('stirrup', 'ADV'), ('teen', 'NOUN'), ('toe', 'NOUN'), ('top', 'NOUN'), ('ultra', 'NOUN')]"
1119,evel knievel,black blk blue checker clothe cowhide evel genuine jacket knievel leather men naked red,"[('black', 'ADJ'), ('blk', 'NOUN'), ('blue', 'ADJ'), ('checker', 'NOUN'), ('clothe', 'NOUN'), ('cowhide', 'NOUN'), ('evel', 'VERB'), ('genuine', 'ADJ'), ('jacket', 'NOUN'), ('knievel', 'NOUN'), ('leather', 'NOUN'), ('men', 'NOUN'), ('naked', 'VERB'), ('red', 'ADJ')]"
1120,everest,backpack bag black bottle classic clothe color everest extra fabric fanny large luggage many medium multiple pack pocket quot shoe size small sport waist,"[('backpack', 'NOUN'), ('bag', 'NOUN'), ('black', 'ADJ'), ('bottle', 'NOUN'), ('classic', 'ADJ'), ('clothe', 'NOUN'), ('color', 'NOUN'), ('everest', 'ADJ'), ('extra', 'ADJ'), ('fabric', 'NOUN'), ('fanny', 'ADJ'), ('large', 'ADJ'), ('luggage', 'NOUN'), ('many', 'ADJ'), ('medium', 'ADJ'), ('multiple', 'ADJ'), ('pack', 'NOUN'), ('pocket', 'NOUN'), ('quot', 'NOUN'), ('shoe', 'NOUN'), ('size', 'NOUN'), ('small', 'ADJ'), ('sport', 'NOUN'), ('waist', 'NOUN')]"
1121,everjune,chemise clothe knit lace red silk,"[('chemise', 'ADV'), ('clothe', 'NOUN'), ('knit', 'NOUN'), ('lace', 'VERB'), ('red', 'ADJ'), ('silk', 'NOUN')]"
1122,everlast,black classic clothe duffel duffle everlast featherweight fog heavyweight jump large leather outdoors rope sport train white,"[('black', 'ADJ'), ('classic', 'ADJ'), ('clothe', 'NOUN'), ('duffel', 'VERB'), ('duffle', 'X'), ('everlast', 'NOUN'), ('featherweight', 'NOUN'), ('fog', 'NOUN'), ('heavyweight', 'ADJ'), ('jump', 'VERB'), ('large', 'ADJ'), ('leather', 'NOUN'), ('outdoors', 'ADV'), ('rope', 'NOUN'), ('sport', 'NOUN'), ('train', 'NOUN'), ('white', 'ADJ')]"
1123,every time i die,clothe die every shirt thunderdome time,"[('clothe', 'NOUN'), ('die', 'VERB'), ('every', 'DET'), ('shirt', 'NOUN'), ('thunderdome', 'NOUN'), ('time', 'NOUN')]"
1124,everybody,clothe everybody frank love raymond shirt,"[('clothe', 'NOUN'), ('everybody', 'NOUN'), ('frank', 'ADJ'), ('love', 'NOUN'), ('raymond', 'NOUN'), ('shirt', 'NOUN')]"
1125,everyday,bra clothe color microfiber pack seamless shirt size underwire white,"[('bra', 'NOUN'), ('clothe', 'NOUN'), ('color', 'NOUN'), ('microfiber', 'NOUN'), ('pack', 'NOUN'), ('seamless', 'NOUN'), ('shirt', 'NOUN'), ('size', 'NOUN'), ('underwire', 'ADJ'), ('white', 'ADJ')]"
1126,evga,atx black detail eps evga express game gddr geforce graphics gtx modular nvidia pci power ssc supply,"[('atx', 'VERB'), ('black', 'ADJ'), ('detail', 'NOUN'), ('eps', 'VERB'), ('evga', 'NOUN'), ('express', 'ADJ'), ('game', 'NOUN'), ('gddr', 'NOUN'), ('geforce', 'NOUN'), ('graphics', 'NOUN'), ('gtx', 'VERB'), ('modular', 'ADJ'), ('nvidia', 'NOUN'), ('pci', 'NOUN'), ('power', 'NOUN'), ('ssc', 'NOUN'), ('supply', 'NOUN')]"
1127,evisu,bag clothe evisu maniacs pink quot shirt suede,"[('bag', 'NOUN'), ('clothe', 'NOUN'), ('evisu', 'NUM'), ('maniacs', 'NOUN'), ('pink', 'ADJ'), ('quot', 'NOUN'), ('shirt', 'NOUN'), ('suede', 'NOUN')]"
1128,evs,adult automotive black collar color evs race segment size ybk youth,"[('adult', 'VERB'), ('automotive', 'ADJ'), ('black', 'ADJ'), ('collar', 'NOUN'), ('color', 'NOUN'), ('evs', 'NOUN'), ('race', 'NOUN'), ('segment', 'NOUN'), ('size', 'NOUN'), ('ybk', 'NOUN'), ('youth', 'NOUN')]"
1129,exbt,clothe exbt fashion sunglasses tint,"[('clothe', 'NOUN'), ('exbt', 'ADJ'), ('fashion', 'NOUN'), ('sunglasses', 'NOUN'), ('tint', 'ADV')]"
1130,exofficio,bikini black boxer boy brief clothe cut exofficio full give large men moisture officio outdoors sport string tank tee travel white wick women,"[('bikini', 'NOUN'), ('black', 'ADJ'), ('boxer', 'NOUN'), ('boy', 'NOUN'), ('brief', 'ADJ'), ('clothe', 'NOUN'), ('cut', 'VERB'), ('exofficio', 'NOUN'), ('full', 'ADJ'), ('give', 'VERB'), ('large', 'ADJ'), ('men', 'NOUN'), ('moisture', 'NOUN'), ('officio', 'X'), ('outdoors', 'ADJ'), ('sport', 'NOUN'), ('string', 'NOUN'), ('tank', 'NOUN'), ('tee', 'NOUN'), ('travel', 'NOUN'), ('white', 'ADJ'), ('wick', 'NOUN'), ('women', 'NOUN')]"
1131,exotic suitcase ltd.,clothe embroider green loden scarf silk vietnamese,"[('clothe', 'NOUN'), ('embroider', 'ADJ'), ('green', 'ADJ'), ('loden', 'ADJ'), ('scarf', 'NOUN'), ('silk', 'NOUN'), ('vietnamese', 'NOUN')]"
1132,expressiva nursingwear,blue capri clothe large length nurse pajamas,"[('blue', 'ADJ'), ('capri', 'NOUN'), ('clothe', 'NOUN'), ('large', 'ADJ'), ('length', 'NOUN'), ('nurse', 'NOUN'), ('pajamas', 'NOUN')]"
1133,exquisite form,beige bra camisole close clothe cotton cup exquisite floral form front fully lace longline original posture soft strap support trim white women,"[('beige', 'ADJ'), ('bra', 'NOUN'), ('camisole', 'VERB'), ('close', 'ADJ'), ('clothe', 'NOUN'), ('cotton', 'NOUN'), ('cup', 'NOUN'), ('exquisite', 'ADJ'), ('floral', 'ADJ'), ('form', 'NOUN'), ('front', 'NOUN'), ('fully', 'ADV'), ('lace', 'NOUN'), ('longline', 'NOUN'), ('original', 'ADJ'), ('posture', 'NOUN'), ('soft', 'ADJ'), ('strap', 'NOUN'), ('support', 'NOUN'), ('trim', 'ADJ'), ('white', 'ADJ'), ('women', 'NOUN')]"
1134,exquisite form by vanity fair,bra closure clothe exquisite fair form front fully original vanity,"[('bra', 'NOUN'), ('closure', 'NOUN'), ('clothe', 'NOUN'), ('exquisite', 'ADJ'), ('fair', 'ADJ'), ('form', 'NOUN'), ('front', 'NOUN'), ('fully', 'ADV'), ('original', 'ADJ'), ('vanity', 'NOUN')]"
1135,extenders,bra clothe extenders individual,"[('bra', 'NOUN'), ('clothe', 'NOUN'), ('extenders', 'NOUN'), ('individual', 'ADJ')]"
1136,eye pack,clothe cold eye gel hot pack travel,"[('clothe', 'ADJ'), ('cold', 'ADJ'), ('eye', 'NOUN'), ('gel', 'X'), ('hot', 'ADJ'), ('pack', 'NOUN'), ('travel', 'NOUN')]"
1137,eyesave,beach black bronze classics clothe frame grey gunmetal hcl jim kapalua lens maui neutral polarize sandy sport sunglasses tortoise urbanspecs wayfarer,"[('beach', 'NOUN'), ('black', 'ADJ'), ('bronze', 'NOUN'), ('classics', 'NOUN'), ('clothe', 'VERB'), ('frame', 'NOUN'), ('grey', 'ADJ'), ('gunmetal', 'ADJ'), ('hcl', 'NOUN'), ('jim', 'PROPN'), ('kapalua', 'X'), ('lens', 'X'), ('maui', 'X'), ('neutral', 'ADJ'), ('polarize', 'VERB'), ('sandy', 'ADJ'), ('sport', 'NOUN'), ('sunglasses', 'NOUN'), ('tortoise', 'VERB'), ('urbanspecs', 'NOUN'), ('wayfarer', 'NOUN')]"
1138,ez,blue clothe color dye head leopard navy orange purple red series solid tie wild wrap,"[('blue', 'ADJ'), ('clothe', 'NOUN'), ('color', 'NOUN'), ('dye', 'NOUN'), ('head', 'NOUN'), ('leopard', 'NOUN'), ('navy', 'NOUN'), ('orange', 'NOUN'), ('purple', 'ADJ'), ('red', 'ADJ'), ('series', 'NOUN'), ('solid', 'ADJ'), ('tie', 'VERB'), ('wild', 'ADJ'), ('wrap', 'NOUN')]"
1139,ezp lifestyle,clothe everfine long medium men palm ringer shirt shop sleeve surf tree xlarge,"[('clothe', 'NOUN'), ('everfine', 'NOUN'), ('long', 'ADJ'), ('medium', 'ADJ'), ('men', 'NOUN'), ('palm', 'NOUN'), ('ringer', 'NOUN'), ('shirt', 'NOUN'), ('shop', 'NOUN'), ('sleeve', 'ADJ'), ('surf', 'ADJ'), ('tree', 'NOUN'), ('xlarge', 'NOUN')]"
1140,factory,adult clothe costume french maid shepherd small staff white,"[('adult', 'NOUN'), ('clothe', 'NOUN'), ('costume', 'NOUN'), ('french', 'ADJ'), ('maid', 'ADJ'), ('shepherd', 'NOUN'), ('small', 'ADJ'), ('staff', 'NOUN'), ('white', 'ADJ')]"
1141,factory card and party outlet,baby baron belle child clothe costume deluxe disguise fairy girl grass graveyard green hula medium months red size skirt tinkerbell women xsmall,"[('baby', 'NOUN'), ('baron', 'NOUN'), ('belle', 'NOUN'), ('child', 'NOUN'), ('clothe', 'NOUN'), ('costume', 'VERB'), ('deluxe', 'NOUN'), ('disguise', 'VERB'), ('fairy', 'NOUN'), ('girl', 'NOUN'), ('grass', 'NOUN'), ('graveyard', 'NOUN'), ('green', 'ADJ'), ('hula', 'NOUN'), ('medium', 'ADJ'), ('months', 'NOUN'), ('red', 'ADJ'), ('size', 'NOUN'), ('skirt', 'NOUN'), ('tinkerbell', 'VERB'), ('women', 'NOUN'), ('xsmall', 'VERB')]"
1142,falcon bay,bay black care classics clothe color easy falcon large navy olive pocket reg shirt size solid sportshirts tall wine,"[('bay', 'ADJ'), ('black', 'ADJ'), ('care', 'NOUN'), ('classics', 'NOUN'), ('clothe', 'VERB'), ('color', 'NOUN'), ('easy', 'ADJ'), ('falcon', 'NOUN'), ('large', 'ADJ'), ('navy', 'NOUN'), ('olive', 'NOUN'), ('pocket', 'NOUN'), ('reg', 'NOUN'), ('shirt', 'NOUN'), ('size', 'NOUN'), ('solid', 'ADJ'), ('sportshirts', 'VERB'), ('tall', 'ADJ'), ('wine', 'NOUN')]"
1143,falke,black clothe cotton falke london matte pantyhose pure sensitive shoe size sock transparent ultra,"[('black', 'ADJ'), ('clothe', 'NOUN'), ('cotton', 'NOUN'), ('falke', 'NOUN'), ('london', 'ADJ'), ('matte', 'NOUN'), ('pantyhose', 'NOUN'), ('pure', 'ADJ'), ('sensitive', 'ADJ'), ('shoe', 'NOUN'), ('size', 'NOUN'), ('sock', 'NOUN'), ('transparent', 'NOUN'), ('ultra', 'ADJ')]"
1144,fall out boy,boy clothe fall ladies long night sleeve tree zip,"[('boy', 'NOUN'), ('clothe', 'NOUN'), ('fall', 'NOUN'), ('ladies', 'NOUN'), ('long', 'ADJ'), ('night', 'NOUN'), ('sleeve', 'NOUN'), ('tree', 'NOUN'), ('zip', 'NOUN')]"
1145,family guy,clothe family guy idiot large mens stewie tee total,"[('clothe', 'NOUN'), ('family', 'NOUN'), ('guy', 'NOUN'), ('idiot', 'NOUN'), ('large', 'ADJ'), ('mens', 'NOUN'), ('stewie', 'NOUN'), ('tee', 'NOUN'), ('total', 'NOUN')]"
1146,famous stars and straps,badge belt blaster buckle clothe famous hoodie medium pretty rhinestones star strap sweatshirt,"[('badge', 'ADJ'), ('belt', 'NOUN'), ('blaster', 'NOUN'), ('buckle', 'NOUN'), ('clothe', 'NOUN'), ('famous', 'ADJ'), ('hoodie', 'NOUN'), ('medium', 'NOUN'), ('pretty', 'ADJ'), ('rhinestones', 'NOUN'), ('star', 'NOUN'), ('strap', 'NOUN'), ('sweatshirt', 'NOUN')]"
1147,fancee free,beige black bra clothe cup ddd extra fancee figure free full lace microfiber nbf nude nurse satiny seamless soft softcup style support white,"[('beige', 'ADJ'), ('black', 'ADJ'), ('bra', 'NOUN'), ('clothe', 'NOUN'), ('cup', 'NOUN'), ('ddd', 'NOUN'), ('extra', 'ADJ'), ('fancee', 'ADJ'), ('figure', 'NOUN'), ('free', 'ADJ'), ('full', 'ADJ'), ('lace', 'NOUN'), ('microfiber', 'NOUN'), ('nbf', 'ADP'), ('nude', 'ADJ'), ('nurse', 'NOUN'), ('satiny', 'NOUN'), ('seamless', 'ADJ'), ('soft', 'ADJ'), ('softcup', 'NOUN'), ('style', 'NOUN'), ('support', 'NOUN'), ('white', 'ADJ')]"
1148,fancy craft,black clothe croc emboss fold genuine leather wallet,"[('black', 'ADJ'), ('clothe', 'NOUN'), ('croc', 'NOUN'), ('emboss', 'NOUN'), ('fold', 'VERB'), ('genuine', 'ADJ'), ('leather', 'NOUN'), ('wallet', 'NOUN')]"
1149,fansedge,arizona athletics auburn bag bay black boston boxer broncos brown buckeyes cap carolina chargers chicago cleveland clothe clutch college competitor cowboys cub dale dallas denim denver diamondbacks diego draft eagle earnhardt emboss fan fight flannel fold full game gameday general georgia green hat illini illinois jacket kid knit large leather lsu manager mavericks men mens michigan nfl north oakland ohio oklahoma orleans outdoors pack packers pair pant penguins philadelphia pioneer pittsburgh plaid players power pro prospect quot raiders red saint san series short shoulder small sock sooners sox spaghetti sport state steel steelers stewart strap tank team tech three tigers tony tri wallet watch wolfpack wolverines women yankees yellow york,"[('arizona', 'NOUN'), ('athletics', 'NOUN'), ('auburn', 'VERB'), ('bag', 'NOUN'), ('bay', 'NOUN'), ('black', 'ADJ'), ('boston', 'NOUN'), ('boxer', 'NOUN'), ('broncos', 'NOUN'), ('brown', 'ADJ'), ('buckeyes', 'NOUN'), ('cap', 'NOUN'), ('carolina', 'NOUN'), ('chargers', 'NOUN'), ('chicago', 'VERB'), ('cleveland', 'NOUN'), ('clothe', 'NOUN'), ('clutch', 'NOUN'), ('college', 'NOUN'), ('competitor', 'NOUN'), ('cowboys', 'NOUN'), ('cub', 'VERB'), ('dale', 'NOUN'), ('dallas', 'NOUN'), ('denim', 'VERB'), ('denver', 'NOUN'), ('diamondbacks', 'VERB'), ('diego', 'ADJ'), ('draft', 'NOUN'), ('eagle', 'NOUN'), ('earnhardt', 'VERB'), ('emboss', 'VERB'), ('fan', 'NOUN'), ('fight', 'NOUN'), ('flannel', 'NOUN'), ('fold', 'VERB'), ('full', 'ADJ'), ('game', 'NOUN'), ('gameday', 'NOUN'), ('general', 'ADJ'), ('georgia', 'NOUN'), ('green', 'ADJ'), ('hat', 'NOUN'), ('illini', 'NOUN'), ('illinois', 'ADJ'), ('jacket', 'NOUN'), ('kid', 'NOUN'), ('knit', 'VERB'), ('large', 'ADJ'), ('leather', 'NOUN'), ('lsu', 'NOUN'), ('manager', 'NOUN'), ('mavericks', 'NOUN'), ('men', 'NOUN'), ('mens', 'VERB'), ('michigan', 'VERB'), ('nfl', 'PROPN'), ('north', 'NOUN'), ('oakland', 'NOUN'), ('ohio', 'NOUN'), ('oklahoma', 'NOUN'), ('orleans', 'NOUN'), ('outdoors', 'ADV'), ('pack', 'VERB'), ('packers', 'NOUN'), ('pair', 'VERB'), ('pant', 'ADJ'), ('penguins', 'NOUN'), ('philadelphia', 'NOUN'), ('pioneer', 'NOUN'), ('pittsburgh', 'NOUN'), ('plaid', 'VERB'), ('players', 'NOUN'), ('power', 'NOUN'), ('pro', 'ADJ'), ('prospect', 'NOUN'), ('quot', 'NOUN'), ('raiders', 'NOUN'), ('red', 'ADJ'), ('saint', 'NOUN'), ('san', 'NOUN'), ('series', 'NOUN'), ('short', 'ADJ'), ('shoulder', 'NOUN'), ('small', 'ADJ'), ('sock', 'NOUN'), ('sooners', 'NOUN'), ('sox', 'VERB'), ('spaghetti', 'NOUN'), ('sport', 'NOUN'), ('state', 'NOUN'), ('steel', 'NOUN'), ('steelers', 'NOUN'), ('stewart', 'VERB'), ('strap', 'NOUN'), ('tank', 'NOUN'), ('team', 'NOUN'), ('tech', 'NOUN'), ('three', 'NUM'), ('tigers', 'NOUN'), ('tony', 'ADJ'), ('tri', 'NOUN'), ('wallet', 'NOUN'), ('watch', 'VERB'), ('wolfpack', 'NOUN'), ('wolverines', 'NOUN'), ('women', 'NOUN'), ('yankees', 'NOUN'), ('yellow', 'ADJ'), ('york', 'NOUN')]"
1150,fantaise,black bra bridgette bustier clothe england fantasie ivory mold strapless,"[('black', 'ADJ'), ('bra', 'NOUN'), ('bridgette', 'NOUN'), ('bustier', 'ADJ'), ('clothe', 'NOUN'), ('england', 'NOUN'), ('fantasie', 'NOUN'), ('ivory', 'NOUN'), ('mold', 'NOUN'), ('strapless', 'NOUN')]"
1151,fantasie,balcony bra clothe cup fantasie full helena shirt smooth specialty strapless underwire underwired,"[('balcony', 'NOUN'), ('bra', 'NOUN'), ('clothe', 'NOUN'), ('cup', 'NOUN'), ('fantasie', 'ADJ'), ('full', 'ADJ'), ('helena', 'NOUN'), ('shirt', 'NOUN'), ('smooth', 'ADJ'), ('specialty', 'NOUN'), ('strapless', 'NOUN'), ('underwire', 'NOUN'), ('underwired', 'ADJ')]"
1152,faris lingerie,cami clothe color faris large lingerie nude pink rosanna size,"[('cami', 'VERB'), ('clothe', 'NOUN'), ('color', 'NOUN'), ('faris', 'VERB'), ('large', 'ADJ'), ('lingerie', 'NOUN'), ('nude', 'ADJ'), ('pink', 'ADJ'), ('rosanna', 'NOUN'), ('size', 'NOUN')]"
1153,farr west,accessory batiste black bra camisole charmeuse clothe cotton farr figure full gore half inch ivory line low microfiber mink olivette rise shelf slip strapless west white,"[('accessory', 'NOUN'), ('batiste', 'NOUN'), ('black', 'ADJ'), ('bra', 'NOUN'), ('camisole', 'NOUN'), ('charmeuse', 'NOUN'), ('clothe', 'NOUN'), ('cotton', 'NOUN'), ('farr', 'NOUN'), ('figure', 'NOUN'), ('full', 'ADJ'), ('gore', 'NOUN'), ('half', 'NOUN'), ('inch', 'NOUN'), ('ivory', 'NOUN'), ('line', 'NOUN'), ('low', 'ADJ'), ('microfiber', 'NOUN'), ('mink', 'NOUN'), ('olivette', 'NOUN'), ('rise', 'NOUN'), ('shelf', 'NOUN'), ('slip', 'NOUN'), ('strapless', 'ADJ'), ('west', 'NOUN'), ('white', 'ADJ')]"
1154,fashion biker,bicycle clothe cycle jersey large merlin pink short sleeve sleeveless small spin women,"[('bicycle', 'NOUN'), ('clothe', 'NOUN'), ('cycle', 'NOUN'), ('jersey', 'VERB'), ('large', 'ADJ'), ('merlin', 'NOUN'), ('pink', 'NOUN'), ('short', 'ADJ'), ('sleeve', 'ADJ'), ('sleeveless', 'NOUN'), ('small', 'ADJ'), ('spin', 'NOUN'), ('women', 'NOUN')]"
1155,fashion essentials,beige clothe cover essentials fashion flap flip full nipple pad shoulder style,"[('beige', 'ADJ'), ('clothe', 'NOUN'), ('cover', 'NOUN'), ('essentials', 'NOUN'), ('fashion', 'NOUN'), ('flap', 'ADP'), ('flip', 'VERB'), ('full', 'ADJ'), ('nipple', 'NOUN'), ('pad', 'NOUN'), ('shoulder', 'NOUN'), ('style', 'NOUN')]"
1156,fashion express,bronze clothe express fashion handbag hobo,"[('bronze', 'NOUN'), ('clothe', 'NOUN'), ('express', 'ADJ'), ('fashion', 'NOUN'), ('handbag', 'NOUN'), ('hobo', 'NOUN')]"
1157,fashion forms,accessory adhesive assort back backless black body bra breast bring case clasp clear cleavage clothe comfy connection convertible cup dark deodorant enhancers extenders extreme face fashion form gal garment gel holder hook insert instant invisible lace lift lite low mate mini model natural nipple nude one pack package pad pair pal petals pink plunge pocket push remover shape sheer shoulder silicone size soft solutions staykups strap strapless stretch style tape travel ultimate ultra water wear whip white wht women,"[('accessory', 'NOUN'), ('adhesive', 'ADJ'), ('assort', 'NOUN'), ('back', 'ADV'), ('backless', 'ADJ'), ('black', 'ADJ'), ('body', 'NOUN'), ('bra', 'NOUN'), ('breast', 'NOUN'), ('bring', 'VERB'), ('case', 'NOUN'), ('clasp', 'VERB'), ('clear', 'ADJ'), ('cleavage', 'NOUN'), ('clothe', 'NOUN'), ('comfy', 'NOUN'), ('connection', 'NOUN'), ('convertible', 'ADJ'), ('cup', 'NOUN'), ('dark', 'ADJ'), ('deodorant', 'ADJ'), ('enhancers', 'NOUN'), ('extenders', 'NOUN'), ('extreme', 'ADJ'), ('face', 'NOUN'), ('fashion', 'NOUN'), ('form', 'NOUN'), ('gal', 'NOUN'), ('garment', 'NOUN'), ('gel', 'NOUN'), ('holder', 'NOUN'), ('hook', 'NOUN'), ('insert', 'VERB'), ('instant', 'ADJ'), ('invisible', 'ADJ'), ('lace', 'NOUN'), ('lift', 'NOUN'), ('lite', 'NOUN'), ('low', 'ADJ'), ('mate', 'NOUN'), ('mini', 'ADJ'), ('model', 'NOUN'), ('natural', 'ADJ'), ('nipple', 'NOUN'), ('nude', 'VERB'), ('one', 'NUM'), ('pack', 'NOUN'), ('package', 'NOUN'), ('pad', 'NOUN'), ('pair', 'NOUN'), ('pal', 'ADJ'), ('petals', 'NOUN'), ('pink', 'VERB'), ('plunge', 'NOUN'), ('pocket', 'NOUN'), ('push', 'NOUN'), ('remover', 'NOUN'), ('shape', 'NOUN'), ('sheer', 'ADJ'), ('shoulder', 'NOUN'), ('silicone', 'NOUN'), ('size', 'NOUN'), ('soft', 'ADJ'), ('solutions', 'NOUN'), ('staykups', 'NOUN'), ('strap', 'VERB'), ('strapless', 'ADJ'), ('stretch', 'NOUN'), ('style', 'NOUN'), ('tape', 'NOUN'), ('travel', 'NOUN'), ('ultimate', 'ADJ'), ('ultra', 'ADJ'), ('water', 'NOUN'), ('wear', 'NOUN'), ('whip', 'NOUN'), ('white', 'ADJ'), ('wht', 'NOUN'), ('women', 'NOUN')]"
1158,fashion jewelry,adorn austrian beach belly chain choker clothe club crystal fashion gift gold jewelry quot rhinestone ring romantic row sexy stretch wear,"[('adorn', 'VERB'), ('austrian', 'ADJ'), ('beach', 'NOUN'), ('belly', 'NOUN'), ('chain', 'NOUN'), ('choker', 'NOUN'), ('clothe', 'NOUN'), ('club', 'NOUN'), ('crystal', 'NOUN'), ('fashion', 'NOUN'), ('gift', 'NOUN'), ('gold', 'NOUN'), ('jewelry', 'NOUN'), ('quot', 'NOUN'), ('rhinestone', 'ADJ'), ('ring', 'NOUN'), ('romantic', 'ADJ'), ('row', 'NOUN'), ('sexy', 'ADJ'), ('stretch', 'NOUN'), ('wear', 'NOUN')]"
1159,fashion jewlery,austrian choker clothe crystal gift rhinestones row sexy stretch,"[('austrian', 'ADJ'), ('choker', 'NOUN'), ('clothe', 'VERB'), ('crystal', 'NOUN'), ('gift', 'NOUN'), ('rhinestones', 'NOUN'), ('row', 'VERB'), ('sexy', 'ADJ'), ('stretch', 'NOUN')]"
1160,fashion lab,belt clothe turtleneck,"[('belt', 'NOUN'), ('clothe', 'NOUN'), ('turtleneck', 'NOUN')]"
1161,fasten your pants,axe beer belt bottle buckle celtic clothe coon cross cybernetic diamond evil flag hunt jaw kill mouth opener oval pewter princess pull raccoon rebel rectangle robot shark skulls southern sword tab teeth traditonal warrior wolf yang yin,"[('axe', 'ADJ'), ('beer', 'NOUN'), ('belt', 'NOUN'), ('bottle', 'NOUN'), ('buckle', 'VERB'), ('celtic', 'ADJ'), ('clothe', 'NOUN'), ('coon', 'NOUN'), ('cross', 'VERB'), ('cybernetic', 'ADJ'), ('diamond', 'NOUN'), ('evil', 'ADJ'), ('flag', 'NOUN'), ('hunt', 'NOUN'), ('jaw', 'NOUN'), ('kill', 'VERB'), ('mouth', 'NOUN'), ('opener', 'NOUN'), ('oval', 'NOUN'), ('pewter', 'NOUN'), ('princess', 'NOUN'), ('pull', 'VERB'), ('raccoon', 'NOUN'), ('rebel', 'ADJ'), ('rectangle', 'NOUN'), ('robot', 'NOUN'), ('shark', 'NOUN'), ('skulls', 'VERB'), ('southern', 'ADJ'), ('sword', 'NOUN'), ('tab', 'NOUN'), ('teeth', 'NOUN'), ('traditonal', 'ADJ'), ('warrior', 'NOUN'), ('wolf', 'NOUN'), ('yang', 'INTJ'), ('yin', 'INTJ')]"
1162,favors by serendipity,box chain clip clothe divot engrave flask free golf key money polish stainless steel tool wine,"[('box', 'NOUN'), ('chain', 'NOUN'), ('clip', 'NOUN'), ('clothe', 'NOUN'), ('divot', 'NOUN'), ('engrave', 'NOUN'), ('flask', 'NOUN'), ('free', 'ADJ'), ('golf', 'NOUN'), ('key', 'ADJ'), ('money', 'NOUN'), ('polish', 'NOUN'), ('stainless', 'ADJ'), ('steel', 'NOUN'), ('tool', 'NOUN'), ('wine', 'NOUN')]"
