'"Cocktail Hour" 18" x 24" original on sale for $200 #abstractpanting #artforsale #originalart https://t.co/2COvdzqKbe'
'#NewProfilePic https://t.co/yYXrdm6wzt'
'The one on the right is available! $200 18"x 24" #abstractart #artforsale https://t.co/qFCGbo0VZ0'
'18" x 24" original #abstractpainting for sale by me! $200 https://t.co/DACjeOUOvf'
'looking for another #SocialMedia client #freelancejob #socialmediamarketing'
'New piece in my online #Art shop! This one's called Cotton Candy! https://t.co/yxF9kJ6IHB https://t.co/RZ2FivOWmd'
'My new online Art store is now live!!! https://t.co/yxF9kJ6IHB #art #decor #blogger'
'A few from my #OceanBliss series for sale! $60 each or 2 for $100! #abstractart #artforsale #decor https://t.co/wGTSDpI5mo'
'@marinarivera779 @carlosrc980 @holyfawkes @streetstyl https://t.co/IglVqmoFGz'
'Cute &amp; affordable workout clothes on the blog today! https://t.co/hmztLiukTZ #fitness #workout #fashion https://t.co/Rs1FMPS62w'
'@michaelhartwel4 thanks for the rt!'
'@RflCspr697 thanks for the rt!'
'Living room decor inspiration on the blog today! https://t.co/U1xoKL3H6c #decor #blogger #pretty #home https://t.co/1G3BjtvTvR'
'What's this thing celeb girls are doing- sticking their tongues out? I don't get why that's "in"...'
'@BlackSwanYoga okay thank you!'
'@BlackSwanYoga Do you need to sign up online for a studio class or just walk in? Thanks!'
'@ellefowler saw your latest snaps. Haters gonna hate. No matter what you do- someone will say something mean. Just do you! I ❤️ your snaps!'
'@lacristinaangel added you!:)'
'So I'm officially addicted to snapchat. Who's with me? username:👻 scarbear7  #snapchat  @Snapchat'
'@itstylerduh yeahhhh hi - I'm gonna need you to snap more! Thanks!'
'Who's snapping?! Follow me on snapchat: scarbear7 👻 #SnapchatGirls #snapchat #vlogger'
'Had the worst migraine and Grant made me the yummiest dinner. Maybe I should have migraines more often.. 😂😂'
'@ellefowler 👻👻👻👻 Halloweeen! Pumpkin spiced lattes! Pumpkin bath bombs! Sweater weather!'
'@bennyheis jeez! That's awful. 😨'
'@bennyheis there is an actual video of it happening? That's awful.'
'I'm so over this heat. Christmas time can't come soon enough. #christmascountdown'
'@ellefowler yay!!!'
'@ellefowler Hi Elle! I took a break from my youtube channel but am getting back into it- what's your best advice to grow my channel?:)'
'RT @ellefowler: PRANK CALLING BLAIR! Twitter Chat and All That https://t.co/gcGGh5fnXE'
'@ellefowler yay!!'
'RT @ellefowler: @scarlettsocial hey there! You just download your entire story to your phone, email it to yourself, and then import it into…'
'@ellefowler Amazing! thx so much! My day at target &amp; cleaning needed to be filmed! Lol Scarbear7 is my snapchat name if you wanna follow! XO'
'Follow me on snapchat! Username: scarbear7'
'@ellefowler Hey! How do you upload all of your snaps to a YouTube video?! I want to try it out!! Thanks so much!!'
'@MissEmilyOlson ha!! I'm so ready for fall as well! It's been in the triple digits in Austin!'
'OMG a part of me is feeling sorry for A!? #PrettyLittleLiars'
'Holy crap!! #PrettyLittleLiars things are starting to make sense!'
'Okay so they made it look like A is CeCe- but is she really A?! #PrettyLittleLiars'
'Ugh still struggling with this stomach flu. This is the worst! 😁😁😁😁'
'@ellefowler so cute!! I would name her Puffin or Snowflake!💗'
'OMG that was so awkward #WWHL'
'@GiulianaRancic I'm going to miss you on @ENews !! You're the best! Good luck in Chicago!'
'@megsbae__ thank you!!'
'It's like she knows I'm sick 🐱 http://t.co/SOJyk5May6'
'@itstylerduh lol I know. I will hopefully find time soon! I've been watching vlogmas videos all day'
'Cool people stay home on Saturdays and color.. #adultcoloringbook http://t.co/fh7MmzAn3X'
'@itstylerduh Hi!! I haven't uploaded a video since April. #youtuberfail'
'Why am I watching vlogmas 2013 by @ellefowler in the middle of summer. #cravingwinter #vlogmas #toohotintexas'
'Oh no.. Ina is making truffled mashed potatoes. Can't you be my aunt or neighbor at least? #sohungry @inagarten'
'RT @itstylerduh: I finally uploaded a new video :) http://t.co/1MEyCbhBEg'
'Ugh series?  I thought we could see who A was finally?! Ugh this is getting annoying #PrettyLittleLiars'
'Can we just find out who A is already?! #PLL #PLLChat'
'Kitty and movie night. 😽😽 http://t.co/3cBLaYOM7k'
'Adult coloring is a thing! So pumped! Chk this adorable book out! http://t.co/jMnP0nmbo1 #coloringbook #art http://t.co/vXkIpQ6B30'
'Wow the #RHOC is so emotional this season. I cry like every episode! #emo'
'@itstylerduh @OliviaLura @LoriDarks @tierneybethhh @BratKneeD @Miss_Mabe @Mels_Makeup @lifeinatx @jessssx26 hula hut! http://t.co/XSK0NgSLz9'
'Holy tears! Never thought I would cry like that from a housewives show. #majortears #RHOC'
'Thoughts a prayers going out to you, @vgunvalson @Bravotv'
'#RHOC 🙌🙌🙌🙌'
'RT @NicoleAngeline: Yep I was challenged to do the $20 Makeup Challenge! This was definitely a challenge :) http://t.co/6M87fWpsZd'
'RT @streetstyledogs: Happy #TakeYourDogToWork !! How cute is @rambothepuppy Share your pics with us➡️http://t.co/fj7X9dOxBO http://t.co/G8M…'
'RT @itstylerduh: Go check out my Desk Organization/Tour! W/@brittykitty1212 http://t.co/GxTG0qprez'
'Hey! Follow me on snapchat! Behind the scenes of my life! #fitness #snapchat #lifestyle #vlogger http://t.co/ADOd9wmo2L'
'Just was watching some of my old videos! I miss u guys &amp; NEED to find time to film more! #Youtuber #itsbeenwaytoolong'
'@ingridnilsen @harto love this video! So glad you are being you! You are amazing! 💃💗🙌'
'My mom knows me well! #buddytheelf will u marry me? #truelove http://t.co/1IGbvdr4fI'
'Sorry I have been so MIA and the worst youtuber ever! I will post a video this weekend!! #YouTuberHonestyHour #youtuberproblems'
'Best. Ever. http://t.co/Yc3UvzoKWN'
'@itstylerduh @YouTube VERY WELL SAID! Love this video so much! You have come so far and are just going to keep on going! #unstoppable #amaze'
'RT @itstylerduh: My Weight Loss Journey (I lost 95lbs!)  ItsTylerDuh: http://t.co/BGbltTgfT0 via @YouTube'
'@MissEmilyOlson Hey girl. whats your email? I wanted to refer you to @usemagiclinks'
'@hgtv ahhhh !! Fingers crossed!!'
'@hgtv aghhhh I would love to win this so much!! Would be a dream come true!!!'
'Praying on my lucky stars I win the #hgtvsmart home !! 🙌🙌🙌🙌'
'@itstylerduh  Hi. Miss You. That's all.'
